1973,1990,2007
Bates,MO,24,12940,14987,17034
Bath,KY,16,7844,9718,11592
Bath,VA,45,4945,4790,4635
Baxter,AR,3,20684,31317,41950
Bay,FL,8,90662,127323,163984
Bay,MI,21,116091,111804,107517
Bayfield,WI,48,13011,14025,15039
Baylor,TX,42,4888,4362,3836
Beadle,SD,40,20907,18288,15669
Bear Lake,ID,11,6301,6082,5863
Beaufort,NC,32,38977,42374,45771
Beaufort,SC,39,27128,87222,147316
Beauregard,LA,17,25346,30061,34776
Beaver,OK,35,6584,5982,5380
Beaver,PA,37,199468,186271,173074
Beaver,UT,43,3448,4769,6090
Beaverhead,MT,25,8054,8429,8804
Becker,MN,22,23878,27921,31964
Beckham,OK,35,17840,18770,19700
Bedford,PA,37,46380,48015,49650
Bedford,TN,41,17104,30583,44062
Bedford,VA,45,24592,45671,66750
Bedford,VA,45,6328,6307,6286
Bee,TX,42,17445,25067,32689
Belknap,NH,28,37646,49347,61048
Bell,KY,16,34005,31496,28987
Bell,TX,42,106333,191654,276975
Belmont,OH,34,73806,70857,67908
Beltrami,MN,22,25399,34504,43609
Ben Hill,GA,9,14784,16217,17650
Benewah,ID,11,6645,7944,9243
Bennett,SD,40,2947,3194,3441
Bennington,VT,44,35256,35854,36452
Benson,ND,33,7415,7193,6971
Bent,CO,5,4212,5028,5844
Benton,AR,3,49262,98524,203107
Benton,IA,14,18304,22425,26546
Benton,IN,13,10096,9453,8810
Benton,MN,22,21214,30359,39504
Benton,MO,24,9408,13939,18470
Benton,MS,23,8019,8028,8037
Benton,OR,36,60690,71059,81428
Benton,TN,41,12893,14580,16267
Benton,WA,46,67752,113583,159414
Benzie,MI,21,6992,12251,17510
Bergen,NJ,29,756514,826129,895744
Berkeley,SC,39,95124,129373,163622
Berkeley,WV,47,19944,59839,99734
Berks,PA,37,273669,337812,401955
Berkshire,MA,20,149048,139423,129798
Bernalillo,NM,30,336100,482696,629292
Berrien,GA,9,11584,14153,16722
Berrien,MI,21,163241,161415,159589
Bertie,NC,32,22179,20390,18601
Bethel,AK,1,10235,13717,17199
Bexar,TX,42,781057,1187775,1594493
Bibb,AL,0,11859,16697,21535
Bibb,GA,9,145827,150268,154709
Bienville,LA,17,17517,16212,14907
Big Horn,MT,25,9828,11313,12798
Big Horn,WY,49,9711,10487,11263
Big Stone,MN,22,7151,6268,5385
Billings,ND,33,1382,1090,798
Bingham,ID,11,31740,37603,43466
Black Hawk,IA,14,120864,124155,127446
Blackford,IN,13,14969,14079,13189
Bladen,NC,32,25051,28676,32301
Blaine,ID,11,6022,13791,21560
Blaine,MT,25,6820,6685,6550
Blaine,NE,26,876,662,448
Blaine,OK,35,10431,11453,12475
Blair,PA,37,135659,130593,125527
Blanco,TX,42,2861,5964,9067
Bland,VA,45,6187,6535,6883
Bleckley,GA,9,8620,10463,12306
Bledsoe,TN,41,6338,9711,13084
Blount,AL,0,22332,39473,56614
Blount,TN,41,52779,86317,119855
Blue Earth,MN,22,48556,54179,59802
Boise,ID,11,1784,3568,7571
Bolivar,MS,23,46113,41874,37635
Bollinger,MO,24,9210,10664,12118
Bon Homme,SD,40,7135,7103,7071
Bond,IL,12,11951,15027,18103
Bonner,ID,11,12484,26767,41050
Bonneville,ID,11,48671,72608,96545
Boone,AR,3,20048,28360,36672
Boone,IA,14,24009,25200,26391
Boone,IL,12,8431,30981,53531
Boone,IN,13,22471,38304,54137
Boone,KY,16,3787,58123,112459
Boone,MO,24,73219,112827,152435
Boone,NE,26,7809,6668,5527
Boone,WV,47,26361,25781,25201
Borden,TX,42,1003,794,585
Bosque,TX,42,12320,15131,17942
Bossier,LA,17,63209,85957,108705
Botetourt,VA,45,18177,25091,32005
Bottineau,ND,33,9495,7952,6409
Boulder,CO,5,162486,226374,290262
Boundary,ID,11,5818,8345,10872
Bourbon,KS,15,15093,14948,14803
Bourbon,KY,16,18738,19247,19756
Bowie,TX,42,72431,81992,91553
Bowman,ND,33,4212,3578,2944
Box Butte,NE,26,15231,13116,11001
Box Elder,UT,43,25290,36568,47846
Boyd,KY,16,53663,51072,48481
Boyd,NE,26,3541,2830,2119
Boyle,KY,16,22546,25605,28664
Bracken,KY,16,7028,7801,8574
Bradford,FL,8,16441,22605,28769
Bradford,PA,37,60685,61078,61471
Bradley,AR,3,11637,11808,11979
Bradley,TN,41,52537,73990,95443
Branch,MI,21,37022,41608,46194
Brantley,GA,9,6800,11120,15440
Braxton,WV,47,11403,13021,14639
Brazoria,TX,42,91055,192644,294233
Brazos,TX,42,73750,122352,170954
Breathitt,KY,16,15699,15675,15651
Breckinridge,KY,16,13532,16309,19086
Bremer,IA,14,21974,22854,23734
Brevard,FL,8,270257,403209,536161
Brewster,TX,42,8017,8628,9239
Briscoe,TX,42,2413,1946,1479
Bristol Bay,AK,1,1780,1388,996
Bristol,MA,20,471418,507221,543024
Bristol,RI,38,47751,48915,50079
Bristol,VA,45,19317,18455,17593
Broadwater,MT,25,2066,3328,4590
Bronx,NY,31,1040447,1207053,1373659
Brooke,WV,47,30285,26973,23661
Brookings,SD,40,21333,25287,29241
Brooks,GA,9,14426,15383,16340
Brooks,TX,42,8761,8175,7589
Broome,NY,31,228531,212252,195973
Broomfield,CO,5,0,0,53691
Broward,FL,8,767011,1263301,1759591
Brown,IL,12,5136,5851,6566
Brown,IN,13,13592,14131,14670
Brown,KS,15,12196,11132,10068
Brown,MN,22,27937,26975,26013
Brown,NE,26,4105,3656,3207
Brown,OH,34,26320,35138,43956
Brown,SD,40,35943,35528,35113
Brown,TX,42,30049,34317,38585
Brown,WI,48,147850,195491,243132
Brule,SD,40,5728,5459,5190
Brunswick,NC,32,3328,51271,99214
Brunswick,VA,45,14161,15986,17811
Bryan,GA,9,1154,15643,30132
Bryan,OK,35,24723,32143,39563
Buchanan,IA,14,20757,20842,20927
Buchanan,MO,24,79943,83214,86485
Buchanan,VA,45,38548,31224,23900
Buckingham,VA,45,9898,12915,15932
Bucks,PA,37,465038,543091,621144
Buena Vista,IA,14,20208,19992,19776
Buena Vista,VA,45,6380,6431,6482
Buffalo,NE,26,30230,37603,44976
Buffalo,SD,40,1447,1779,2111
Buffalo,WI,48,13304,13558,13812
Bullitt,KY,16,21829,47880,73931
Bulloch,GA,9,20648,43412,66176
Bullock,AL,0,11283,11032,10781
Buncombe,NC,32,123637,175204,226771
Bureau,IL,12,36344,35690,35036
Burke,GA,9,18274,20514,22754
Burke,NC,32,63117,76046,88975
Burke,ND,33,4050,2956,1862
Burleigh,ND,33,43298,60307,77316
Burleson,TX,42,10668,13633,16598
Burlington,NJ,29,345543,396180,446817
Burnet,TX,42,1619,22654,43689
Burnett,WI,48,9935,13128,16321
Burt,NE,26,8701,7880,7059
Butler,AL,0,23615,21886,20157
Butler,IA,14,16766,15713,14660
Butler,KS,15,38299,50672,63045
Butler,KY,16,9258,11257,13256
Butler,MO,24,36400,38863,41326
Butler,NE,26,8783,8580,8377
Butler,OH,34,227918,292903,357888
Butler,PA,37,123350,152642,181934
Butte,CA,4,148525,183652,218779
Butte,ID,11,3053,2912,2771
Butte,SD,40,6371,7923,9475
Butts,GA,9,7083,15421,23759
Cabarrus,NC,32,35918,99590,163262
Cabell,WV,47,99073,96754,94435
Cache,UT,43,32033,70460,108887
Caddo,LA,17,242999,247804,252609
Caddo,OK,35,29546,29421,29296
Calaveras,CA,4,18240,32542,46844
Calcasieu,LA,17,152058,168285,184512
Caldwell,KY,16,13665,13217,12769
Caldwell,LA,17,9273,9790,10307
Caldwell,MO,24,7484,8384,9284
Caldwell,NC,32,62238,70846,79454
Caldwell,TX,42,15849,26277,36705
Caledonia,VT,44,25309,27982,30655
Calhoun,AL,0,119133,116118,113103
Calhoun,AR,3,6107,5821,5535
Calhoun,FL,8,8494,11044,13594
Calhoun,GA,9,3958,5028,6098
Calhoun,IA,14,13015,11501,9987
Calhoun,IL,12,5513,5340,5167
Calhoun,MI,21,135837,136226,136615
Calhoun,MS,23,15269,14930,14591
Calhoun,SC,39,10807,12792,14777
Calhoun,TX,42,17778,19065,20352
Calhoun,WV,47,8561,7881,7201
Callahan,TX,42,10036,11772,13508
Callaway,MO,24,22458,32943,43428
Calloway,KY,16,25423,30806,36189
Calumet,WI,48,24423,34373,44323
Calvert,MD,19,15685,51954,88223
Camas,ID,11,376,739,1102
Cambria,PA,37,180881,162938,144995
Camden,GA,9,12779,30734,48689
Camden,MO,24,14805,27646,40487
Camden,NC,32,2384,5937,9490
Camden,NJ,29,493279,503524,513769
Cameron,LA,17,11064,9239,7414
Cameron,PA,37,6455,5902,5349
Cameron,TX,42,136246,261728,387210
Camp,TX,42,7273,9915,12557
Campbell,KY,16,81296,84077,86858
Campbell,SD,40,2519,1958,1397
Campbell,TN,41,29585,35178,40771
Campbell,VA,45,42602,47721,52840
Campbell,WY,49,18373,29403,40433
Canadian,OK,35,45765,74662,103559
Candler,GA,9,5030,7790,10550
Cannon,TN,41,7602,10517,13432
Canyon,ID,11,1971,90676,179381
Cape Girardeau,MO,24,50848,61794,72740
Cape May,NJ,29,94314,95368,96422
Carbon,MT,25,6433,8077,9721
Carbon,PA,37,50714,56978,63242
Carbon,UT,43,20658,20146,19634
Carbon,WY,49,17730,16608,15486
Caribou,ID,11,7054,6958,6862
Carlisle,KY,16,5270,5218,5166
Carlton,MN,22,24749,29321,33893
Caroline,MD,19,21340,27125,32910
Caroline,VA,45,11400,19341,27282
Carroll,AR,3,10111,18770,27429
Carroll,GA,9,31796,71875,111954
Carroll,IA,14,21907,21415,20923
Carroll,IL,12,17672,16800,15928
Carroll,IN,13,17659,18823,19987
Carroll,KY,16,8095,9311,10527
Carroll,MD,19,78952,124086,169220
Carroll,MO,24,11615,10737,9859
Carroll,MS,23,8208,9256,10304
Carroll,NH,28,23804,35592,47380
Carroll,OH,34,24566,26541,28516
Carroll,TN,41,26229,27574,28919
Carroll,VA,45,24130,26625,29120
Carson City,NV,27,26489,40714,54939
Carson,TX,42,6748,6553,6358
Carter,KY,16,21354,24389,27424
Carter,MO,24,5119,5524,5929
Carter,MT,25,1710,1489,1268
Carter,OK,35,38216,42899,47582
Carter,TN,41,44138,51668,59198
Carteret,NC,32,42136,52687,63238
Carver,MN,22,8359,48409,88459
Cascade,MT,25,73801,77788,81775
Casey,KY,16,12217,14193,16169
Cass,IA,14,16336,15110,13884
Cass,IL,12,13167,13447,13727
Cass,IN,13,37723,38458,39193
Cass,MI,21,48491,49521,50551
Cass,MN,22,15015,21869,28723
Cass,MO,24,31177,64155,97133
Cass,ND,33,69014,103298,137582
Cass,NE,26,17141,21359,25577
Cass,TX,42,30582,29972,29362
Cassia,ID,11,18242,19601,20960
Castro,TX,42,10804,9007,7210
Caswell,NC,32,18081,20671,23261
Catahoula,LA,17,11588,11020,10452
Catawba,NC,32,82244,118945,155646
Catoosa,GA,9,23145,42693,62241
Catron,NM,30,1729,2580,3431
Cattaraugus,NY,31,88823,84455,80087
Cavalier,ND,33,8171,6041,3911
Cayuga,NY,31,84826,82446,80066
Cecil,MD,19,44037,71866,99695
Cedar,IA,14,16904,17447,17990
Cedar,MO,24,10531,12130,13729
Cedar,NE,26,11730,10130,8530
Centre,PA,37,105804,125231,144658
Cerro Gordo,IA,14,49530,46773,44016
Chaffee,CO,5,8611,12696,16781
Chambers,AL,0,39004,36884,34764
Chambers,TX,42,11517,20144,28771
Champaign,IL,12,156422,173341,190260
Champaign,OH,34,32698,36110,39522
Chariton,MO,24,10519,9181,7843
Charles City,VA,45,5434,6300,7166
Charles Mix,SD,40,9285,9119,8953
Charles,MD,19,63058,101751,140444
Charleston,SC,39,248289,295631,342973
Charlevoix,MI,21,17005,21593,26181
Charlotte,FL,8,72828,112821,152814
Charlotte,VA,45,11083,11708,12333
